sentence,emotion
mangha gawa tago kaniya pagkatao haba,joy
tingin paligid damdam ako iba suri tao paligid bilang taon mukha hinala masid,fear
tingin lapit gusali pa manman sundan rin tingin,fear
napasandal lamang hinga nang lalim,fear
lalo pa taas lebel stress alam sabi kina darwin krystal nel,fear
damdam mo rin ba presensya tingin kay hiro diretso lamang tingin seryoso ekspresyon,fear
mangha gawa talo lima iyon loob lamang bilang minuto,joy
narinig nga hina tawa mama harap bigla ako hiya,joy
liit eroplano dati tawag ito kaoru mukha gawa talaga proyekto iyon,joy
ka bibitaw hiro sunod malay sarado black dimension sakit ekspresyon,fear
pikit si hiro alam untiunti damdam epekto black dimension katawan damdam rin lalo higpit braso shinigami leeg punto hinga,fear
hiro tapik mukha tugon ka patay harap hiro usap gise,fear
bigla mulat mata dae dilat tuloy tulo luha takot salamat buhay,joy
tawad sabi noon napayakap rin,sadness
sobra takot pangyayari noon siya untiunting nawawalan malay kanina para bagay pasok ulit isip pangyayari noon digmaan patay taon kilala guhit isip,fear
takot ako wala naman importante wala ina kaibigan sama guro ayaw nang wala ulit,sadness
mura iyak daan taon sanay lakas protekta taon halaga sumosoporta rin protekta,anger
ligta mo bulong hiro,joy
halos patay,fear
buhay rin bumitiw harap sayo mo sabi hina ganoon,joy
tingin punta lugar hanap atin tulala,fear
alam mas lalim sugat mama date wala taon halaga pangyayari dati,sadness
wala kaniya asawa lapit kaibigan anak loob labinlima taon,sadness
ano atin tanong naman asa date agad pakay namin lugar,fear
bantay muna paligid atin hintay hakbang date hindi ba tango naman kumpirma,fear
bigla naman ako naramdamang presensya lapit alerto isip katawan,fear
mo kritikal bahagi katawan mo nasa delikado lagay,fear
nga tawag ito kritikal bahagi katawan puwede ka patay lala sugat mo,fear
alam dito japan sina naomi rainie siyempre great seven bagsak sagot darwin,fear
sandali pati intindi nanay hiro naman rin ba dahil anak rielleakemi,fear
hindi mata naman ganoon,fear
sunod baka bigat lamang sugat subok galaw braso konte galaw lamang sobra sakit damdam balikat tingin gamit right limb,sadness
nasa panganib,fear
ninyo ba sigaw tingin sila abot agad isip nina hiro darwin bala,anger
naririnig sila mura isip gusali harap,anger
ngiti sunod mas buti tuloy plano,joy
tingin naman lalaki atake galaw,joy
kuha mo mo lakas kilabot noon damdam sabay bukas bilang bahagi black dimension,fear
ngiti tagumpay tupad tungkulin,joy
yata kaya sabay sugod,sadness
patay shinigami,fear
sina krystal nel tabi salita nel bigay konte lakas,joy
hawak balikat sobra sakit sigaw iyak wala ako lakas,sadness
ako bunot tinik noon masyadong damdam sakit balikat braso untiunti rin lumilinaw tingin tingin paligid isaisang bagsak shinigami,joy
damdam naman bigla tuloy bukas sarado black dimension paligid lamang nun dagdag puwersa alam talaga dito lamang alam rin plano atin,fear
ingat dagdag naman nel titig nang masama krystal tawa lamang ngiti naman papaano tulong,joy
man sira plano atin sabay upo nel kaliwa sunod naman si krystal,anger
oh guwapo lalaki suot salamin tulong nel umakto hawak salamin kamay saka nilagay mata heck sobra bili byahe iyon akala suka,joy
tigil naman isip noon damdam naman bukas black dimension taon kilabot sobra laki parte untiunting bukas mukha damdam nang masama sina nel krystal iba galaw depensa posisyon,fear
ito kilabot damdam,fear
tingin tanda babae tawag izumi lalo ako kilabot takot ekspresyon,fear
salita pupugutan kita ulo,anger
mo tanda bruha,anger
sama mo man,anger
sama inyo pa gawa niyo mas pili pa patay mapunta kamay ninyo,anger
ganoon edi patay noon lalaki bigla siya sugod,anger
masama ako damdam,fear
kilabot alam galit iyon kita tango lamang iyon lamang gawa,fear
tingin likod kilabot presensya,fear
sana taon nakaraan naman papa kita ekspresyon damdam sakit salita binitiwan,sadness
gawa mo burahin mo lugar labis dusa,anger
hoy punta sigaw nel noon bigla ako takbo,fear
tigil lakad higpit hawak palaso lalo lakas ingay sabay noon bili tibok puso alam date,fear
habol,anger
heh ganoon anak traydor iyon mukha pinuno grupo init ulo noon kinig iyon harap,anger
nga anak rielle problema ba doon,anger
talaga inis tawag siya traydor tanggap senshin rin kilala shinigami nga nasasaktan gaano sakit damdam,anger
sakit iyak alam ayaw iyon pangyayari inis alam hirap,sadness
payag hawak niyo bulong binibitawan palaso pana,anger
tama shinigami tingin si darwin laki,joy
ayos lamang ba tanong darwin noon lapit,fear
ooo nga pala si hiro sama noon pasok dito wala,fear
sandali lamang iyon halo emosyon kita noon sanggol lamang hawak ina ngiti damdam espesyal,joy
nood ama sira gusali damdam damdam kaginhawahan lungkot kita kilos alam gawa tapos burahin lugar dusa ina,sadness
tingin lamang chip takot alam batay datum kalap darwin kilala si mama,fear
oo takot ako alam totoo,fear
ganito naman naman dahil lagi lamang sila damay gulo akala lakas depensa taon protekta ngunit lagi balik pangyayari protekta ayaw ayaw damdam,anger
bigla naman siya ngiti lapit yakap,joy
iyak ulit naman bali pangako iyon,sadness
pasensiya rainie pasensiya sabi ina tango lamang intindi naman sitwasyon papa higpit yakap ganoon,sadness
ninuno ryou sigaw taas sandata hayaan atin tagumpay simula bago shinigami naman dagundong sigaw puno paligid,joy
bigla tuloy ako natauhan man lamang ulit salamat dahil ligta,sadness
akala reklamo bilang segundo lamang damdam lalim hinga tanggal kamay mata ngiti noon tulog,joy
una titig picture lagay halos sikip dibdib iyon,sadness
tingin larawan tulo luha nang tigil damdam hirap sakit danas alam sobra hirap daan base kuwento naririnig ngayon kita pangyayari mas lala pala isip,sadness
para lubog puso noon narinig iyon,sadness
alala pangyayari noon bago sila lamang damdam hawak nanay huli hinga alala ngunit,sadness
tingin lamang paanan damdam iyak lamang ulit harap bilang bese ako hinga nang lalim kalma saka harap,sadness
kaya basa pa file lagay sobra bigat agad damdam baka bisita dati paaralan tulong akin upang bawa sakit,sadness
miss bulong tango naman si darwin,sadness
saya ako kayo ulit bati pansin wala siya suot contact kita berde mata,joy
salamat sama saka ngiti,joy
saya naman ano,joy
hinga nang lalim saka ngiti,joy
bilang gabi rin ako iyak pangyayari kay mama noon doon dungeon sobra sakit iyon sobra sakit alam daan,sadness
dito harap puntod kanina upo dito lamang siya sama ngayon araw nasa tabi alam bilang buwan siya isa noon nasa tiyan lamang balik mahal,sadness
bigla naman tulo luha alala iyon,sadness
sobra hanga kita mama lakas mo tao usap sabi sumpa rin bayani lungkot lamang wala dito,sadness
puna luha tuloy rin sila tulo,sadness
dami tanong isip dami gusto gawa sama sina mama papa alam hindi iyon pangyayari pa gawa,sadness
pigil hagulgol sobra sakit man lamang buo man lamang masama pamilya nang tagal ganito sakit isip gaano sakit damdam,sadness
sobra sakit sigurado ganito rin nararamadaman papa lalo nat patay mama,sadness
namatay bisig,sadness
alam lungkot mata noon nakaraan buwan alala bilang pamilyar alaala,sadness
kinig tingin saglit siya ngiti,joy
ngunit alala kasi sakit limot,sadness
bumuhat buo katawan dugo naririnig iyak mukha presidente lalaki hawak sabi bigla putol salita tulo luha alam damdam sakit para doon malay iyak rin pala,sadness
babae lapit nang patay tigil noon kinig halos lubog puso alam tukoy alala sabi ngunit namatay siya ngiti,sadness
paligid puno iyak,sadness
po tulog awtomatiko tulo luha sabi agad tago mukha saklob kapa suot damdam kamay ulo,sadness
mo tago luha mo tingin tahimik lamang siya luha tingin puntod mama,sadness
damdam sakit salita binitiwan papa higpit yakap ngiti noon narinig rin mama sakit rin,sadness
ayan naman lungkot ngiti,sadness
totoo takot ako tulog para mapapanaginipan alam kay mama,fear
damdam pagbara lalamunan noon narinig iyon kaniya,sadness
tapik papa balikat gaan damdam damdam bata ulit ako tulog naman ngiti,joy
inis mo sixth sense ubo nga,anger
hello ulit saya bati gemma,joy
rin tatag untiunti tayo bawi salamat,joy
lamang diwang tagumpay syempre tapos kasunduan,joy
sabi noon tensyon silid tingin kina hiro,fear
wow ganda punto iyan ka humdrum politiko tawa naman sila noon sabi iyon nel medyo hiya ngiti rin mukha agree,joy
wow salamat darwin gamit,joy
saya uwi ganoon nasa tabi rin,joy
salamat rinig isip rainie,joy
dito ulit vince bulong haplos puntod,sadness
multo rin patay bigay bangungot,sadness
tuwe gabi pilit isip panaginip lamang buhay rin dito rin hintay balik lalo lamang ako nasasaktan,sadness
man lamang alam nang ayos isat man lamang yakap man lamang sabi,sadness
tingin lapit puntod nina akira mayu lagay bulaklak harap puntod dasal,sadness
tapos digmaan tatlo araw lipa tantei high luksa rin senshin wala buhay dagdag naman puntod,sadness
makapaniwalang kita michiko tulo luha damdam ako presensya likod tingin doon rin si hideo likod tingin lamang langit,sadness
dito naman ako lamon totoo lamang kami tira kaibigan wala,sadness
marami bagay pangyayari saya sama rin kayo pinipiligang tulo luha para awa niyo huwag huwag rin kayo patay pile,sadness
balik dito sama mas linaw alala lamang balik ora saya lamang tigil ora,sadness
dito namin tirahan nathan teacher village tuwa pilit komportable paligid,joy
ngunit basa nasa isip nalungkot sakit simula siya alala digmaan labinlima taon lipa noon taon gulang malay tulak layo dulo isip ngunit dalawa digmaan dahil alala ulit,sadness
gulat naman noon bigla tulong luha mata para bagsak puso noon iyon,sadness
yakap anak alam sisi rin pangyayari ganito pa alala tatay,sadness
pili protekta ligta bukas halip hingi tawad salamat ama gawa mo ba iyan nathan,sadness
tulo luha alala saya namin alala miserable damdam tuloy balik alala ngunit mage,sadness
hi mitsuo ligaya date pamilya atama saya akira,joy
gulat naman noon simangot lamang mitsuo banda gilid tingin lamang nina michiko dismaya,sadness
tingin naman kay mitsuo halos salubong kilay bastos naman lalaki,anger
iyon miyembro iyon babae sabay ngiti nang loko,joy
success gulat saya akira,joy
pfft hahaha laban ba ekspresyon mukha ekspresyon sabay turo michiko kay hideo naman si mitsuo para lagi galit,joy
tss nang alis agad lugar sama tao sipa tanda iyon balik,anger
sikat talaga sabay tawa michiko nga marami tingin,joy
ba hiroshi laki mo naman titig pogi ka tulad kay hideo mitsuo ekspresyon mukha,joy
ngiti naman noon sabi iyon tawa si akira noon tango si hiroshi noon tuloy alam seryoso ba sagot iyon hiroshi trip lamang,joy
ba bata rin papansinin okay puno bastos,anger
hey sabay hampas narinig pagsingap nina akira michiko akemi maski gulat yata lakas palo tawag bata,anger
tsk titig nang masama muntik ako atra tinag,anger
angal ba,anger
hindi sir,fear
buti bata vince sabay tawa noon tanda para asar,joy
damn old fart trip mo ba,anger
damn mas lala pala kay hideo alaga bata hahaha,joy
ayaw tawa rin itsura halos pareho noon ekspresyon noon iwan noon tanda lalaki sama bata bahay,joy
ganoon naman pala masama usisa,joy
teka sabay hawak balikat mo siya hawak tingin kay michiko agad guwante,fear
huh baliw ba mo baligtarin ito katawan mo iyon kita pulis humdrum baka bigla lamang tayo alis galaw atin bulong michiko,fear
ugh kulit,anger
whoa akala hindi abot michiko,fear
muntik ako patay sobra kaba dagdag akira,fear
wow tulong agad lungkot nang konti limot rin ba tao haba wala ba kaniya alaala,sadness
gise hingal pawis pawis bangungot naman damn epektibo binigay gamot doktor miwako,anger
lapit tapik balikat mukha lakas tingin nang masama noon balik galit ekspresyon mukha,anger
gulat noon bigla ako hinigit bewang takip bibig tago puno damdam hinga tenga palag sana bigla siya bulong,fear
bigla naman narinig bose nina sir kyo sir tora lakad taranta lama ganito uri labag patakaran,fear
tayo muna papel sulat rin pigil ngiti tiwala sabik kabogdamdam talaga aral ka,joy
naman hampas tubo wala rin ekspresyon iyon mukha naman bigla tawa si akira nang lakas,joy
bigla naman lingon si akemi ngiti nang loko,joy
oo nga wow lamang miyembro,joy
mukha ka kumpiyansa kalkulado labas totoo kaba kampante mo,sadness
sir eiichi tili ngiti lamang,joy
lampas mababangis masama nilalang libre gala silbi protekta imbita bisita ngunit bilang atake,fear
bala halimaw bigla sugod,fear
agad ako talon punta sanga puno tabi salpok nang diretso ulo nilalang puno yanig nang tindi puno muntik ako hulog diretso halimaw,fear
baba ungol tayo balahibo nang liwanag paligid liwanag buwan pilipit sikmura kilabot itsura nilalang,fear
salita alog naman nang lakas puno tingin baba nang ulit itsura damdam takot,fear
malapad haba balat mukha ito baboyramo kasi laki leon panga ngipin para pat katawan balot tuli balahibo damdam hilo titig bilang segundo simula lamon takot damdam,fear
akala sapat halimaw takot nang husto anim anim litaw palibot balot isip katawan nginig takot,fear
shit nang tigil sigaw mitsuo lumuhod amoy nilalang takot naaakit dito ayaw mo mas dami lapit kalma,anger
pagkarinig noon lalo bili tibok puso dagdag damdam takot subok kalma,fear
hawak saglit hinga usap manatili ako tahimik ngunit bilang segundo galaw lagay harap,fear
panunuksong ngiti labas kaniya labi,joy
takot noon kinig council eld grupo payo alaga tulong pinuno desisyon bata,fear
tapat tribo ganap ngunit dahil ture puso,fear
upang protekta senshin lugar dulot panganib banta,fear
bawi sir kyo ikli talim kita naman mukha mitsuo inis,anger
ngunit tao mo sundan ingat nang seryoso tono damdam kilabot katawan una pasok isip taka ngunit ayaw mapagkamanalan duwag harap,fear
kita lawak disyerto bukirin uwak buwitre lipad paligid pula langit lubog araw tindi takot paligid naririnig rin bose galit naman iyak nang buo puso tayo gitna bukirin tanda lalaki hawak sandata bardiche,fear
sandali naman bago ekspresyon tanggap sabi iba tapang sabi tanga wow lakas loob lalaki,anger
hey hakbang lapit sampalan nang lakas tawag mo tanga kuha pamaypay tabi turo kaniya tanda mo iyon sana alis alaala mo,anger
kami tahimik alam pangyayari bilang segundo ngiti isat ora alam bago,joy
salamat naomi utang sayo,joy
mmm tango iyak,sadness
mo ba sorbete tanong bawi bigla liwanag mukha ngiti,joy
awtomatiko galaw paa sipa mesa damdam sakit ngiwi lamang masama tingin,anger
sayo huwag mo tawag tanga lamig mo muna ulo mo sama mo iyon martsa,anger
inis tawag ako tanga tawa ba bwisit,anger
well pikon lalaki inis,anger
tapos mitsuo usap huwag mo ako hampas tapos tulala lamang si naomi kanina sagot okay gosh mo lamang iyon itsura kanina tawa talaga,joy
asar nang tigil kanina ngiti nang amo mukha kita koharu haba tila labis pasiya,joy
nasa ika pahina nang basa bahagi mangha kemikal dulot emosyon tawag ibig tuwa bahagi agham mas sabik ako basa sikolohikal paliwanag,joy
panganib ibig sunod lamang patay,fear
tagal rin simula noon seryoso ako laban hina mitsuo ora wasak laban,joy
knee give feel pain course leg bigay tuhod damdam sakit balot binti taranta baka ito oportunidad haruka atake mas pili takbo direksyon sama,fear
pasensiya sadya hangin bago iyon direksyon target,fear
pfft tawa iyon itsura niyo dagdag akira,joy
damdam responsable ano pangyayari tigil naman noon narinig iyon kay mitsuo,sadness
mas bili kilos sana kayo dito doon man lamang kayo protekta lalaki hayaan sakit dalawa babae harap,sadness
inaasahag maginoo tatak impresyon ikli pasensiya emosyon saksi pagige alaga wow,joy
baka nga mali desisyon punta damn old fart sala mo ito,anger
narinig mo pala huh kalma sabi tono tindigbalahibo,fear
layo kaba sigaw damdam damdam galit alam sobra,fear
layo mo lamig saka martsa punta pinto,anger
paumanhin bigla sigaw lalaki bigla siya lumuhod tayo,fear
salamat sabi ngiti balik,joy
ano mo sigaw pansin tulak papupo bangko gaya dati masama lamang tingin taas kilay,anger
ka isip ano lamig,anger
wala ako alala magulang kundi paborito linya nanay alaala tao linaw kita kaniya mata tama pinuno alaala mitsuo isip dagat dugo daandaan bangkay iyak tao buo lugar tayo gitna gamit tira lakas isip lipat mata sugat hina tuhod lalim hinga,sadness
oo lamig gabi nginig katawan takot alala dahan kalma titig nang masama asa,fear
oo kilabot iyon,fear
tuto eksperto sabi kumpiyansa,joy
tama nga teorya atin mangha salita sulat libro,joy
sabay namin tawag ngalan masyadong bigat presensya abot puntong sakal,fear
oohh tagal rin simula noon ganito kawala bigla akira tingin loko ngiti,joy
oo ako sintomas noon sulat libro sabi noon saglit tawa si mayu naman taka,joy
tapos basa tala bigla sagi isip takot mukha nina akemi mitsuo agad ako nginig ideya silay shinigami labis kilabot bahala,fear
mas buti mo alam hamak ngiti labis inis,anger
seryoso talaga titig lamang ba sabi ako tawa lipa bilang segundo bigla siya humalakhak,joy
tawa talaga dagdag masama tingin,anger
mas hirap mo kasi pagalis sabi noon ako damdam alam hinto lamang lakad lingon lagi ka kita alam harap tapos tigil atin,sadness
ba konsepto closure nga alam intindi ayaw damdam lito,sadness
limot mo kumirot dibdib,sadness
kita wala bose inis desperado intindi kaya sabi salita bawi salita iyon alam,sadness
usap pagkarinig para tama puso una taon sakit,sadness
alala naman nga alam kailangan tigil sigurado ako lamang damdam hayag mas lalo gulo lito bagay ayaw,anger
kain lamang hintay bilang ora gulat lamang nang bigla bukas pinto hingal si akemi titig ba kita multo,fear
amin tingin tama oo malumanay tao kabila anyo kilos alaala isip kita iba bagay,fear
lisik mata tuso ngiti damit basa dugo tao espada hawak alaala dulot nginig takot,fear
miss sabay hawi babae takbo patay diyan dali,fear
isip plano tigil ngunit hinto agad nang katawan higa gilit lalaki kaniya dugo nagpintura cobblestone parke,fear
ikot patay tama mata noon mukha peklat muntik ako hinga,fear
tigil takot pagtataka ngunit lagablab tindi berde mata kita awa,fear
takbo kayo patay epektibo bala sobra takot bose halo panggap dali alis lugar bilang segundo tira lamang lalaki patay katawan,fear
tinuro ulit kita mo loko dagundong tawa takot ngunit sandali,fear
mukha siya baliw sobra ako takot abot pamaypay ngunit tigil nang sigaw,fear
lamang sigaw hawak kutsilyo gamit kamay tutok dibdib mo patay patay patay,anger
ikot noon tama mata nginig katawan para takot taranta kanina damdam lamang epekto lumuhod harap dahan dahan ako hila yakap,fear
alam ngunit simula tulo luha mata hampas inis gulo takot nang sabay sabay reklamo halip hila lapit,sadness
dahil ayaw lapit hinga damdam tibok puso kaniya dibdib,sadness
ngunit saya ligta sobra saya salamat,joy
sinungale sabi gitna iyak,sadness
putol usap noon lakas bagsak sigaw si akira noon lingon wala malay si akemi sahig,fear
salamat bigla tingin titig langit kalma ekspresyon,joy
salamat dapat mahal baka sakit masira lamang kita bigay mo puso mo taon talaga kaya protekta damdam mo pahahalagahan,sadness
untiunti nang wala damdam damdam luha tulo pisngi hirap ngiti sana salita ngunit taksil bose huli salita narinig wala malay,sadness
gulat naman nang bigla ako yakap damdam pigil iyak lamang pansin nasa silid ospital dito rin sina michiko mayu hideo,sadness
sagot inis,anger
wala sabi nang malumanay ngunit bose umalingawngaw buo kwarto balik kailan,sadness
lapit misyon lamang nasa misyon tabi damdam bigo lamang huli mas lala patay tagal dito mas lalo lamang ako gulo damdam ako komportable limot nababagay senshin,sadness
ganoon talaga nga shinigami akira mukha siya lumo,sadness
ngiti sagot labi galaw rin miss pano asar saya ayos rin siya isip nasa hirap sitwasyon,joy
kita mata alala alam iyon balak huli nga naman wala kaniya anak misyon sigurado,sadness
lugar iyon bigay takot ngiti bigay akin kilabot,fear
galaw sana ngunit damdam ako presensya paligid taas lebel damdam dulot balisa dahan dahan handa armas tiga katawan noon nakarinig takot tawa ngunit parke nanatili tao,fear
bigla lamang taas balahibo batok salita lapit tenga,fear
init buo katawan ba tapon apoy hinga nang ayos damdam untiunting laho,fear
hila shinigami buhok silay mukha harap alam hibang ngunit mukha puno peklat tukoy kaniya anyo,fear
tindi kaniya titig sapat suka salita tusok para lason alala alaala kanina,fear
salita sana kami tigil namin damdam bingi presensya kubli paligid tuloy gana damdam ngunit sapat alam panganib harap,fear
bili tibok puso para taas lebel adrenaline serotonin nang dibersyon damdam bigla siya baril putok kaliwa bahagi,fear
tanong lamang sana kay mitsuo gulat nang bigla lamang wala lalaki una instinct pili layo kaniya tulak hayaan hulog lapag muntik ako wala malay sakit ngunit gawa rin alerto,fear
manatili ako upo nginig buo katawan takot mukha handa nang patay iyon huntre damdam mitsuo,fear
bose dala kilabot tangi gawa gamit sixth sense gawa tigil ora paligid ngunit tatlo segundo lipat posisyon noon ubo ora isinaksak huntre kaniya mukha anino talim lugar tatlo segundo nakaraan,fear
narinig siya tawa ngiti konti mas pagkatao,joy
naman masama usisa bagay tao puwede rin ito delikado lamang mo bigla naman siya lingon tigil nang harap mukha taya mo buhay mo hanap nang kita malay takot una taon,fear
oo siguro sabi dati siguro sana alam siguro wala rin damdam mo magiiba,sadness
bigla palit inis ngiti gulat mukha bigla bili tibok puso alala reaksyon sama atraksyon ibig tanda maliban lamang takot damdam,joy
bigla naman ako nalungkot si shou ture tao tatag tribo senshin lamang ishida jikko tingin katwiran ngunit kay shou labag etiko senshin iba paniniwala,sadness
alerto tao hina mitsuo agad naman hawak pamaypay,fear
pagkarinig noon tingin kay mitsuo putla alam paniniwalaan ba sabi lagay mitsuo mukha totoo iyon,fear
ligta mo mo bigla sabi tigil segundo dunong langoy mage bigat lamang sayo usap iwan mo iligta,sadness
salamat kasi mo binitawan salamat kasi hayaan mo ako ulit mukha mo dilim,joy
ngiti naman tingin alam masama taon sira ngunit pigil mahumale kaniya,joy
ba gusto tanong basag tahimik titig takot ako ekspresyon,fear
medyo iba papano tulad kaniya tingin damdam kaba,fear
ganoon sabi noon nakaraan nasa isip rin oo alam ngiti naman gulat,joy
wala siya sabi ngunit dahan dahan ako hila lapit kaniya sunod lamang alala yakap ikot tingin puso handa nang sabog ano ora init kalma,joy
shima isla kasalanan iyak sigaw dulot sakit taon doon puno tenga,fear
simula naman siya lakad agad ako sunod hinto naririnig ako sigaw hagulgol pinagsamang sakit galit tunog dahil balisa iba tao,fear
tingin ulit gubat lalo ako takot iba kita puno halaman para tangi lugar lamang tagpo iba anyo tila likha kalikasan,fear
galaw lapit kaniya paligid gambala ayaw solo ganito klase lugar,fear
tingin berde mata lisik takot para lagay esmeralda iris tago likod mitsuo iba tingin rin alam gawa,fear
tara bulong mitsuo galaw iba talaga damdam lugar,fear
wala ako gawa kundi hatak sundan naman tatlo lalaki pasok gubat bigla takip taas laki puno sinag araw mas lalo takot lugar,fear
sunod ugong laki leon leopardo harap salubong tiga takot lito katawan doble laki karaniwan mas mukha mabangis,fear
halos limot hinga nang mas ingat panganib bigay lugar halaman puno daan labas iba amoy kemikal ayon paralisa dulot halusinasyon,fear
