sentence,emotion
"""during his brief interview with mr. fogg, passepartout had been carefully observing him.""",fear
"""he appeared to be a man about forty years of age, with fine, handsome features, and a tall, well-shaped figure;""",fear
"""his face rather pale, his teeth magnificent.""",fear
"""his countenance possessed in the highest degree what physiognomists call 'repose in action,'""",fear
"""calm and phlegmatic, with a clear eye, mr. fogg seemed a perfect type of that english composure""",fear
"""he gave the idea of being perfectly well-balanced, as exactly regulated as a leroy chronometer.""",fear
"""phileas fogg was, indeed, exactitude personified,""",fear
"""this was betrayed even in the expression of his very hands and feet;""",fear
"""he was so exact that he was never in a hurry, was always ready,""",fear
"""he never took one step too many,""",fear
"""he made no superfluous gestures, and was never seen to be moved or agitated.""",fear
"""he was the most deliberate person in the world,""",fear
"""he lived alone, and, so to speak, outside of every social relation;""",fear
"""he never rubbed against anybody.""",fear
"""as for passepartout, he was a true parisian of paris.""",fear
"""since he had abandoned his own country for england,""",fear
"""taking service as a valet, he had in vain searched for a master after his own heart.""",fear
"""it would be rash to predict how passepartout's lively nature would agree with mr. fogg.""",fear
"""it was impossible to tell whether the new servant would turn out as absolutely methodical as his master required;""",fear
"""passepartout had been a sort of vagrant in his early years,""",fear
"""now yearned for repose; but so far he had failed to find it,""",fear
"""he had already served in ten english houses.""",fear
"""but he could not take root in any of these;""",fear
"""his last master, young lord longferry, member of parliament, after passing his nights in the haymarket taverns,""",fear
"""was too often brought home in the morning on policemen's shoulders.""",fear
"""passepartout, desirous of respecting the gentleman whom he served,""",fear
"""ventured a mild remonstrance on such conduct; which, being ill-received, he took his leave.""",fear
"""hearing that mr. phileas fogg was looking for a servant, and that his life was one of unbroken regularity,""",fear
"""at half-past eleven, then, passepartout found himself alone in the house in saville row.""",fear
"""so clean, well-arranged, solemn a mansion pleased him;""",fear
"""it seemed to him like a snail's shell, lighted and warmed by gas,""",fear
"""electric bells and speaking-tubes afforded communication with the lower stories;""",fear
"""while on the mantel stood an electric clock, precisely like that in mr. fogg's bedchamber, both beating the same second at the same instant.""",fear
"""he suddenly observed, hung over the clock, a card which, upon inspection, proved to be a programme of the daily routine of the house.""",fear
"""it comprised all that was required of the servant, from eight in the morning,""",fear
"""mr. fogg rose, till half-past eleven, when he left the house for the reform club--all the details of service,""",fear
"""everything was regulated and foreseen that was to be done from half-past eleven a.m. till midnight,""",fear
"""the hour at which the methodical gentleman retired.""",fear
"""mr. fogg's wardrobe was amply supplied and in the best taste.""",fear
"""each pair of trousers, coat, and vest bore a number, indicating the time of year and season at which they were in turn to be laid out for wearing;""",fear
"""the same system was applied to the master's shoes.""",fear
"""the house in saville row, which must have been a very temple of disorder and unrest under the illustrious but dissipated sheridan,""",fear
"""there was no study, nor were there books, which would have been quite useless to mr. fogg;""",fear
"""a moderate-sized safe stood in his bedroom, constructed so as to defy fire as well as burglars;""",fear
"""passepartout found neither arms nor hunting weapons anywhere;""",fear
"""everything betrayed the most tranquil and peaceable habits.""",fear
"""ah, we shall get on together, mr. fogg and i! what a domestic and regular gentleman! a real machine;""",fear
"""what about that robbery?""",fear
"""the bank will lose the money.""",fear
"""he'll be a clever fellow if he slips through their fingers.""",fear
"""but have you got the robber's description?""",fear
"""in the first place, he is no robber at all.""",fear
"""what! a fellow who makes off with fifty-five thousand pounds, no robber?""",fear
"""a package of banknotes, to the value of fifty-five thousand pounds, had been taken from the principal cashier's table.""",fear
"""the bank of england reposes a touching confidence in the honesty of the public.""",fear
"""the cashier had not so much as raised his head.""",fear
"""detectives were also charged with narrowly watching those who arrived at or left london by rail.""",fear
"""there were real grounds for supposing, as the daily telegraph said, that the thief did not belong to a professional band.""",fear
"""on the day of the robbery a well-dressed gentleman of polished manners, and with a well-to-do air, had been observed.""",fear
"""several members of the reform club being bank officials.""",fear
"""but stuart was far from sharing this confidence.""",fear
"""i maintain that the chances are in favour of the thief, who must be a shrewd fellow.""",fear
"""no country is safe for him.""",fear
"""where could he go, then?""",fear
"""oh, i don't know that. the world is big enough.""",fear
"""yes, in eighty days!""",fear
"""that doesn't take into account bad weather, contrary winds, shipwrecks, railway accidents, and so on.""",fear
"""but suppose the hindoos or indians pull up the rails.""",fear
"""suppose they stop the trains, pillage the luggage-vans, and scalp the passengers!""",fear
"""it's absurd!""",fear
"""you would lose by a single accidental delay!""",fear
"""the unforeseen does not exist.""",fear
"""you must jump mathematically from the trains upon the steamers, and from the steamers upon the trains again.""",fear
"""i will bet twenty thousand pounds against anyone who wishes that i will make the tour of the world in eighty days or less.""",fear
"""the twenty thousand pounds, now deposited in my name at baring's, will belong to you, in fact and in right.""",fear
"""he certainly did not bet to win.""",fear
"""he foresaw that he might have to expend the other half to carry out this difficult, not to say unattainable, project.""",fear
"""they had some scruples about betting under conditions so difficult to their friend.""",fear
"""the party offered to suspend the game so that mr. fogg might make his preparations for departure.""",fear
"""i am quite ready now.""",fear
"""diamonds are trumps: be so good as to play, gentlemen.""",fear
"""having shut the door of his house at half-past eleven.""",fear
"""having put his right foot before his left five hundred and seventy-five times.""",fear
"""having put his left foot before his right five hundred and seventy-six times.""",fear
"""an imposing edifice in pall mall, which could not have cost less than three millions.""",fear
"""the nine windows of which open upon a tasteful garden.""",fear
"""the trees were already gilded with an autumn colouring.""",fear
"""the cover of which had already been laid for him.""",fear
"""a flunkey handed him an uncut times.""",fear
"""the standard, his next task, occupied him till the dinner hour.""",fear
"""a coal fire was steadily burning.""",fear
"""mr. fogg's usual partners at whist.""",fear
"""the bank will lose the money.""",fear
"""i hope we may put our hands on the robber.""",fear
"""skilful detectives have been sent to all the principal ports of america and the continent.""",fear
"""he'll be a clever fellow if he slips through their fingers.""",fear
"""but have you got the robber's description?""",fear
"""a package of banknotes, to the value of fifty-five thousand pounds, had been taken.""",fear
"""the amount was passed to the account of profit and loss.""",fear
"""detectives were also charged with narrowly watching those who arrived at or left london by rail.""",fear
"""a well-dressed gentleman of polished manners, and with a well-to-do air.""",fear
"""several members of the reform club being bank officials.""",fear
"""stuart was far from sharing this confidence.""",fear
"""the chances are in favour of the thief, who must be a shrewd fellow.""",fear
"""no country is safe for him.""",fear
"""oh, i don't know that. the world is big enough.""",fear
"""yes, in eighty days!""",fear
"""that doesn't take into account bad weather, contrary winds, shipwrecks, railway accidents, and so on.""",fear
"""but suppose the hindoos or indians pull up the rails.""",fear
"""suppose they stop the trains, pillage the luggage-vans, and scalp the passengers!""",fear
"""you would lose by a single accidental delay!""",fear
"""the unforeseen does not exist.""",fear
"""you must jump mathematically from the trains upon the steamers, and from the steamers upon the trains again.""",fear
"""you are joking.""",fear
"""this very evening?""",fear
"""the twenty thousand pounds, now deposited in my name at baring's, will belong to you, in fact and in right.""",fear
"""he certainly did not bet to win.""",fear
"""he foresaw that he might have to expend the other half to carry out this difficult, not to say unattainable, project.""",fear
"""they had some scruples about betting under conditions so difficult to their friend.""",fear
"""the party offered to suspend the game so that mr. fogg might make his preparations for departure.""",fear
"""having put his right foot before his left five hundred and seventy-five times.""",fear
"""having put his left foot before his right five hundred and seventy-six times.""",fear
"""an imposing edifice in pall mall, which could not have cost less than three millions.""",fear
"""the nine windows of which open upon a tasteful garden.""",fear
"""the trees were already gilded with an autumn colouring.""",fear
"""a flunkey handed him an uncut times.""",fear
"""the standard, his next task, occupied him till the dinner hour.""",fear
"""a coal fire was steadily burning.""",fear
"""mr. fogg's usual partners at whist.""",fear
"""the bank will lose the money.""",fear
"""i hope we may put our hands on the robber.""",fear
"""skilful detectives have been sent to all the principal ports of america and the continent.""",fear
"""he'll be a clever fellow if he slips through their fingers.""",fear
"""but have you got the robber's description?""",fear
"""a package of banknotes, to the value of fifty-five thousand pounds, had been taken.""",fear
"""the amount was passed to the account of profit and loss.""",fear
"""detectives were also charged with narrowly watching those who arrived at or left london by rail.""",fear
"""a well-dressed gentleman of polished manners, and with a well-to-do air.""",fear
"""several members of the reform club being bank officials.""",fear
"""stuart was far from sharing this confidence.""",fear
"""the chances are in favour of the thief, who must be a shrewd fellow.""",fear
"""no country is safe for him.""",fear
"""oh, i don't know that. the world is big enough.""",fear
"""yes, in eighty days!""",fear
"""that doesn't take into account bad weather, contrary winds, shipwrecks, railway accidents, and so on.""",fear
"""but it is not midnight,"" responded the other, showing his watch.",fear
"""passepartout!"" repeated mr. fogg, without raising his voice.",fear
a puzzled grin overspread passepartout's round face; clearly he had not comprehended his master.,fear
"""round the world!"" he murmured.",fear
"""in eighty days,"" responded mr. fogg. ""so we haven't a moment to lose.""",fear
"""but the trunks?"" gasped passepartout, unconsciously swaying his head from right to left.",fear
"he went out, mounted to his own room, fell into a chair, and muttered: ""that's good, that is! and i, who wanted to remain quiet!""",fear
around the world in eighty days! was his master a fool?,fear
"""you have forgotten nothing?"" asked he.",fear
passepartout had a moist sensation about the eyes; his master's action touched his susceptible heart.,fear
"just as the train was whirling through sydenham, passepartout suddenly uttered a cry of despair.",fear
"""what's the matter?"" asked mr. fogg.",fear
"""in my hurry--i--i forgot--""",fear
"""to turn off the gas in my room!""",fear
"the news of the bet spread through the reform club, and afforded an exciting topic of conversation to its members.",fear
"the large majority shook their heads and declared against him; it was absurd, impossible, they declared.",fear
"articles no less passionate than logical appeared on the question, for geography is one of the pet subjects of the english.",fear
"everything, it said, was against the travellers, every obstacle imposed alike by man and by nature.",fear
"there were accidents to machinery, the liability of trains to run off the line, collisions, bad weather, the blocking up by snow--were not all these against phileas fogg?",fear
"this article made a great deal of noise, and, being copied into all the papers, seriously depressed the advocates of the rash tourist.",fear
"everybody knows that england is the world of betting men, who are of a higher class than mere gamblers; to bet is in the english temperament.",fear
"not only the members of the reform, but the general public, made heavy wagers for or against phileas fogg.",fear
"""phileas fogg bonds"" were offered at par or at a premium, and a great business was done in them.",fear
"lord albemarle, an elderly paralytic gentleman, was now the only advocate of phileas fogg left.",fear
"when the folly as well as the uselessness of the adventure was pointed out to him, he contented himself with replying, ""if the thing is feasible, the first to do it ought to be an englishman.""",fear
"the fogg party dwindled more and more, everybody was going against him, and the bets stood a hundred and fifty and two hundred to one.",fear
the effect of this dispatch was instantaneous.,fear
the polished gentleman disappeared to give place to the bank robber.,fear
"his photograph, which was hung with those of the rest of the members at the reform club, was minutely examined.",fear
"the mysterious habits of phileas fogg were recalled; his solitary ways, his sudden departure.",fear
"it seemed clear that, in undertaking a tour round the world on the pretext of a wager, he had had no other end in view than to elude the detectives, and throw them off his track.",fear
"i shall die. i shall no longer feel the agonies which now consume me or be the prey of feelings unsatisfied, yet unquenched.",sadness
"polluted by crimes and torn by the bitterest remorse, where can i find rest but in death?",sadness
"i shall no longer see the sun or stars or feel the winds play on my cheeks. light, feeling, and sense will pass away; and in this condition must i find my happiness.",sadness
"blasted as thou wert, my agony was still superior to thine, for the bitter sting of remorse will not cease to rankle in my wounds until death shall close them for ever",sadness
"i thank you, walton, for your kind intentions towards so miserable a wretch; but when you speak of new ties and fresh affections, think you that any can replace those who are gone?",sadness
"can any man be to me as clerval was, or any woman another elizabeth?",sadness
"even where the affections are not strongly moved by any superior excellence, the companions of our childhood always possess a certain power over our minds which hardly any later friend can obtain.",sadness
"when i die, i am well satisfied that abhorrence and opprobrium should load my memory.",sadness
but now crime has degraded me beneath the meanest animal.,sadness
"no guilt, no mischief, no malignity, no misery, can be found comparable to mine.",sadness
my tears flow; my mind is overshadowed by a cloud of disappointment.,sadness
but it is even so; the fallen angel becomes a malignant devil.,sadness
that is also my victim! in his murder my crimes are consummated; the miserable series of my being is wound to its close!,sadness
"alas! he is cold, he cannot answer me.",sadness
must i then lose this admirable being? i have longed for a friend; i have sought one who would sympathise with and love me,sadness
"all my speculations and hopes are as nothing, and like the archangel who aspired to omnipotence, i am chained in an eternal hell",sadness
soon these burning miseries will be extinct,sadness
"what agonising fondness did i feel for them! how did i cling to their dear forms, as sometimes they haunted even my waking hours, and persuade myself that they still lived!",sadness
"at such moments vengeance, that burned within me, died in my heart, and i pursued my path towards the destruction of the dæmon more as a task enjoined by heaven, as the mechanical impulse of some power of which i was unconscious, than as the ardent desire of my soul.",sadness
"he could not live under the horrors that were accumulated around him; the springs of existence suddenly gave way; he was unable to rise from his bed, and in a few days he died in my arms.",sadness
"farewell! i leave you, and in you the last of humankind whom these eyes will ever behold. farewell, frankenstein!",sadness
"but soon,” he cried with sad and solemn enthusiasm, “i shall die, and what i now feel be no longer felt. soon these burning miseries will be extinct.",sadness
the only joy that he can now know will be when he composes his shattered spirit to peace and death.,sadness
he believes that when in dreams he holds converse with his friends and derives from that communion consolation for his miseries or excitements to his vengeance.,sadness
"oh! my friend, if you had known me as i once was, you would not recognise me in this state of degradation.",sadness
"i was left desolate. my own strength is exhausted, and i must tell, in a few words, what remains of my hideous narration.",sadness
"despondency rarely visited my heart; a high destiny seemed to bear me on, until i fell, never, never again to rise.",sadness
"my father and ernest yet lived, but the former sunk under the tidings that i bore.",sadness
"his eyes wandered in vacancy, for they had lost their charm and their delight—his elizabeth, his more than daughter.",sadness
"what then became of me? i know not; i lost sensation, and chains and darkness were the only objects that pressed upon me.",sadness
"sometimes, indeed, i dreamt that i wandered in flowery meadows and pleasant vales with the friends of my youth, but i awoke and found myself in a dungeon.",sadness
"when actuated by selfish and vicious motives, i asked you to undertake my unfinished work, and i renew this request now, when i am only induced by reason and virtue.",sadness
"the forms of the beloved dead flit before me, and i hasten to their arms.",sadness
"his voice became fainter as he spoke, and at length, exhausted by his effort, he sank into silence.",sadness
"about half an hour afterwards he attempted again to speak but was unable; he pressed my hand feebly, and his eyes closed for ever, while the irradiation of a gentle smile passed away from his lips.",sadness
"margaret, what comment can i make on the untimely extinction of this glorious spirit?",sadness
what can i say that will enable you to understand the depth of my sorrow? all that i should express would be inadequate and feeble.,sadness
"but the overflowing misery i now felt, and the excess of agitation that i endured rendered me incapable of any exertion.",sadness
"i threw down the oar, and leaning my head upon my hands, gave way to every gloomy idea that arose.",sadness
"if i looked up, i saw scenes which were familiar to me in my happier time and which i had contemplated but the day before in the company of her who was now but a shadow and a recollection.",sadness
tears streamed from my eyes.,sadness
nothing is so painful to the human mind as a great and sudden change.,sadness
"mine has been a tale of horrors; i have reached their acme, and what i must now relate can but be tedious to you",sadness
"i see him now, excellent and venerable old man! his eyes wandered in vacancy, for they had lost their charm and their delight.",sadness
he could not live under the horrors that were accumulated around him.,sadness
"sometimes, indeed, i dreamt that i wandered in flowery meadows and pleasant vales with the friends of my youth, but i awoke and found myself in a dungeon.",sadness
my present situation was one in which all voluntary thought was swallowed up and lost. i was hurried away by fury; revenge alone endowed me with strength and composure; it moulded my feelings and allowed me to be calculating and calm at periods when otherwise delirium or death would have been my portion.,sadness
i have traversed a vast portion of the earth and have endured all the hardships which travellers in deserts and barbarous countries are wont to meet. how i have lived i hardly know; many times have i stretched my failing limbs upon the sandy plain and prayed for death.,sadness
"when i quitted geneva my first labour was to gain some clue by which i might trace the steps of my fiendish enemy. but my plan was unsettled, and i wandered many hours round the confines of the town, uncertain what path i should pursue",sadness
"the spirits of the departed seemed to flit around and to cast a shadow, which was felt but not seen, around the head of the mourner.",sadness
"oh! peace, peace, my love,"" replied i; ""this night, and all will be safe; but this night is dreadful, very dreadful.",sadness
great god! why did i not then expire! why am i here to relate the destruction of the best hope and the purest creature on earth?,sadness
"oh, frankenstein! generous and self-devoted being! what does it avail that i now ask thee to pardon me? i, who irretrievably destroyed thee by destroying all thou lovedst. alas!",sadness
"this suspense is a thousand times worse than the most horrible event; tell me what new scene of death has been acted, and whose murder i am now to lament?",sadness
"oppressed by the recollection of my various misfortunes, i now swallowed double my usual quantity and soon slept profoundly.",sadness
towards morning i was possessed by a kind of nightmare; i felt the fiend’s grasp in my neck and could not free myself from it; groans and cries rang in my ears.,sadness
"i abhorred the face of man. oh, not abhorred! they were my brethren, my fellow beings, and i felt attracted even to the most repulsive among them, as to creatures of an angelic nature and celestial mechanism.",sadness
"how they would, each and all, abhor me and hunt me from the world, did they know my unhallowed acts and the crimes which had their source in me!",sadness
my father yielded at length to my desire to avoid society and strove by various arguments to banish my despair,sadness
"sometimes he thought that i felt deeply the degradation of being obliged to answer a charge of murder, and he endeavoured to prove to me the futility of pride.",sadness
"justine, poor unhappy justine, was as innocent as i, and she suffered the same charge; she died for it; and i am the cause of this—i murdered her.",sadness
"william, justine, and henry—they all died by my hands.",sadness
"my father had often, during my imprisonment, heard me make the same assertion; when i thus accused myself, he sometimes seemed to desire an explanation, and at others he appeared to consider it as the offspring of delirium.",sadness
i avoided explanation and maintained a continual silence concerning the wretch i had created.,sadness
"i had a persuasion that i should be supposed mad, and this in itself would for ever have chained my tongue.",sadness
"but, besides, i could not bring myself to disclose a secret which would fill my hearer with consternation and make fear and unnatural horror the inmates of his breast.",sadness
"i checked, therefore, my impatient thirst for sympathy and was silent when i would have given the world to have confided the fatal secret.",sadness
"company was irksome to me; when alone, i could fill my mind with the sights of heaven and earth; the voice of henry soothed me, and i could thus cheat myself into a transitory peace",sadness
"but busy, uninteresting, joyous faces brought back despair to my heart.",sadness
"i saw an insurmountable barrier placed between me and my fellow men; this barrier was sealed with the blood of william and justine, and to reflect on the events connected with those names filled my soul with anguish.",sadness
he was also pursuing an object he had long had in view.,sadness
"my father’s care and attentions were indefatigable, but he did not know the origin of my sufferings and sought erroneous methods to remedy the incurable ill",sadness
"my strength was gone. i was a mere skeleton, and fever night and day preyed upon my wasted frame",sadness
"still, as i urged our leaving ireland with such inquietude and impatience, my father thought it best to yield.",sadness
"i hailed the darkness that shut ireland from my sight, and my pulse beat with a feverish joy when i reflected that i should soon see geneva.",sadness
"the past appeared to me in the light of a frightful dream; yet the vessel in which i was, the wind that blew me from the detested shore of ireland, and the sea which surrounded me, told me too forcibly that i was deceived by no vision and that clerval, my friend and dearest companion, had fallen a victim to me and the monster of my creation.",sadness
"i repassed, in my memory, my whole life; my quiet happiness while residing with my family in geneva, the death of my mother, and my departure for ingolstadt.""",sadness
"i remembered, shuddering, the mad enthusiasm that hurried me on to the creation of my hideous enemy, and i called to mind the night in which he first lived.",sadness
"i was unable to pursue the train of thought; a thousand feelings pressed upon me, and i wept bitterly.",sadness
but sleep did not afford me respite from thought and misery; my dreams presented a thousand objects that scared me.,sadness
"my father, who was watching over me, perceiving my restlessness, awoke me; the dashing waves were around, the cloudy sky above, the fiend was not here: a sense of security, a feeling that a truce was established between the present hour and the irresistible, disastrous future imparted to me a kind of calm forgetfulness, of which the human mind is by its structure peculiarly susceptible.",sadness
"we landed, and proceeded to paris. i soon found that i had overtaxed my strength and that i must repose before i could continue my journey.",sadness
but i felt that i had no right to share their intercourse. i had unchained an enemy among them whose joy it was to shed their blood and to revel in their groans.,sadness
"alas! my father, how little do you know me. human beings, their feelings and passions, would indeed be degraded if such a wretch as i felt pride.",sadness
"i looked towards its completion with a tremulous and eager hope, which i dared not trust myself to question but which was intermixed with obscure forebodings of evil that made my heart sicken in my bosom.",sadness
"i sat one evening in my laboratory; the sun had set, and the moon was just rising from the sea; i had not sufficient light for my employment, and i remained idle, in a pause of consideration of whether i should leave my labour for the night or hasten its conclusion by an unremitting attention to it.",sadness
"as i sat, a train of reflection occurred to me which led me to consider the effects of what i was now doing.",sadness
"i was now about to form another being of whose dispositions i was alike ignorant; she might become ten thousand times more malignant than her mate and delight, for its own sake, in murder and wretchedness.",sadness
"had i right, for my own benefit, to inflict this curse upon everlasting generations?",sadness
"i had before been moved by the sophisms of the being i had created; i had been struck senseless by his fiendish threats; but now, for the first time, the wickedness of my promise burst upon me.",sadness
"i shuddered to think that future ages might curse me as their pest, whose selfishness had not hesitated to buy its own peace at the price, perhaps, of the existence of the whole human race.",sadness
"i trembled and my heart failed within me, when, on looking up, i saw by the light of the moon the dæmon at the casement.",sadness
"he was for ever busy, and the only check to his enjoyments was my sorrowful and dejected mind.",sadness
"i tried to conceal this as much as possible, that i might not debar him from the pleasures natural to one who was entering on a new scene of life, undisturbed by any care or bitter recollection.",sadness
"i often refused to accompany him, alleging another engagement, that i might remain alone.",sadness
"i now also began to collect the materials necessary for my new creation, and this was to me like the torture of single drops of water continually falling on the head.",sadness
"every thought that was devoted to it was an extreme anguish, and every word that i spoke in allusion to it caused my lips to quiver, and my heart to palpitate.",sadness
"he mentioned the beauties of his native country and asked us if those were not sufficient allurements to induce us to prolong our journey as far north as perth, where he resided.",sadness
"clerval eagerly desired to accept this invitation, and i, although i abhorred society, wished to view again mountains and streams and all the wondrous works with which nature adorns her chosen dwelling-places.",sadness
"my strength was gone. i was a mere skeleton, and fever night and day preyed upon my wasted frame.",sadness
it was midnight. i lay on the deck looking at the stars and listening to the dashing of the waves.,sadness
"my father saw this change with pleasure, and he turned his thoughts towards the best method of eradicating the remains of my melancholy.",sadness
"every now and then would return by fits, and with a devouring blackness overcast the approaching sunshine.",sadness
i took refuge in the most perfect solitude,sadness
"i passed whole days on the lake alone in a little boat, watching the clouds and listening to the rippling of the waves, silent and listless.",sadness
but the fresh air and bright sun seldom failed to restore me to some degree of composure.,sadness
i listened to my father in silence and remained for some time incapable of offering any reply.,sadness
"why, in that instant, did i not extinguish the spark of existence which you had so wantonly bestowed?",sadness
i could with pleasure have destroyed the cottage and its inhabitants and have glutted myself with their shrieks and misery.,sadness
the cold stars shone in mockery.,sadness
"finding myself unsympathised with, wished to tear up the trees, spread havoc and destruction around me, and then to have sat down and enjoyed the ruin.",sadness
but this was a luxury of sensation that could not endure; i became fatigued with excess of bodily exertion and sank on the damp grass in the sick impotence of despair.,sadness
there was none among the myriads of men that existed who would pity or assist me.,sadness
"i declared everlasting war against the species, and more than all, against him who had formed me and sent me forth to this insupportable misery.",sadness
my fever of my blood did not allow me to be visited by peaceful dreams.,sadness
i awoke exhausted.,sadness
"i crept forth from my hiding-place, and went in search of food.",sadness
you may render me the most miserable of men.,sadness
i am malicious because i am miserable.,sadness
am i not shunned and hated by all mankind?,sadness
i now indulge in dreams of bliss that cannot be realised.,sadness
"our lives will not be happy, but they will be harmless and free from the misery i now feel.",sadness
"as soon as i was convinced that no assistance could save any part of the habitation, i quitted the scene and sought for refuge in the woods.",sadness
"i resolved to fly far from the scene of my misfortunes; but to me, hated and despised, every country must be equally horrible.",sadness
"unfeeling, heartless creator! you had endowed me with perceptions and passions and then cast me abroad an object for the scorn and horror of mankind.",sadness
from you i determined to seek that justice which i vainly attempted to gain from any other being that wore the human form.,sadness
nature decayed around me.,sadness
the sun became heatless; rain and snow poured around me.,sadness
"mighty rivers were frozen; the surface of the earth was hard and chill, and bare, and i found no shelter.",sadness
"the mildness of my nature had fled, and all within me was turned to gall and bitterness.",sadness
a circumstance that happened when i arrived on the confines of switzerland confirmed in an especial manner the bitterness and horror of my feelings.,sadness
a few incidents now and then directed me.,sadness
the agony of my feelings allowed me no respite.,sadness
i travelled only when i was secured by night from the view of man.,sadness
the feelings of kindness and gentleness which i had entertained but a few moments before gave place to hellish rage and gnashing of teeth.,sadness
"the agony of my wound overcame me; my pulses paused, and i fainted.",sadness
"for some weeks i led a miserable life in the woods, endeavouring to cure the wound which i had received.",sadness
my sufferings were augmented also by the oppressive sense of the injustice and ingratitude of their infliction.,sadness
my travels were long and the sufferings i endured intense.,sadness
"i did not know the names of the towns that i was to pass through, nor could i ask information from a single human being.",sadness
"the surface of the earth was hard and chill, and bare.",sadness
the mildness of my nature had fled.,sadness
"nothing is more painful to the human mind than, after the feelings have been worked up by a quick succession of events, the dead calmness of inaction and certainty which follows and deprives the soul both of hope and fear.",sadness
"justine died, she rested, and i was alive. the blood flowed freely in my veins, but a weight of despair and remorse pressed on my heart which nothing could remove",sadness
"sleep fled from my eyes; i wandered like an evil spirit, for i had committed deeds of mischief beyond description horrible, and more, much more (i persuaded myself) was yet behind.",sadness
"now all was blasted; instead of that serenity of conscience which allowed me to look back upon the past with self-satisfaction, and from thence to gather promise of new hopes, i was seized by remorse and the sense of guilt, which hurried me away to a hell of intense tortures such as no language can describe.",sadness
"i shunned the face of man; all sound of joy or complacency was torture to me; solitude was my only consolation—deep, dark, deathlike solitude.",sadness
"""my father observed with pain the alteration perceptible in my disposition and habits.",sadness
no one could love a child more than i loved your brother”—tears came into his eyes as he spoke...,sadness
"...if remorse had not mingled its bitterness, and terror its alarm, with my other sensations. now i could only answer my father with a look of despair and endeavour to hide myself from his view.",sadness
"i often, i say, was tempted to plunge into the silent lake, that the waters might close over me and my calamities for ever.",sadness
"i had been the author of unalterable evils, and i lived in daily fear lest the monster whom i had created should perpetrate some new wickedness.",sadness
at these moments i wept bitterly and wished that peace would revisit my mind only that i might afford them consolation and happiness. but that could not be. remorse extinguished every hope.,sadness
